id,name,review_count,rating,coordinates
BMm6y9tztqYUM5l7V7PNfA,Cantina one 41,42,4.0,"{'latitude': 34.021049, 'longitude': -84.190509}"
Hg17x5emxBaRcwCEUe13ag,Secreto Southern Kitchen & Bar,358,4.5,"{'latitude': 34.09353, 'longitude': -84.23733}"
99Yv0uu3FkikxaO0FJWUJw,Stone's Cuisine & Cocktails,135,4.0,"{'latitude': 34.02305512937735, 'longitude': -84.25234848470417}"
dabo-3O2g2t443lpc-9xEA,Italia Mediterranean Grill,160,4.5,"{'latitude': 34.0178225891952, 'longitude': -84.6195390075445}"
M-wWH9WPkyobHnL9pQdoYw,1885 Grill,153,4.0,"{'latitude': 34.06760592567931, 'longitude': -84.67737436427134}"
nPd79mGvUmwCG3RoR11pUQ,Forks & Flavors,97,4.0,"{'latitude': 34.02444, 'longitude': -84.566934}"
16pyiWyaQXDXFXqqanAB6g,Fire Stone Chinese Cuisine,407,4.5,"{'latitude': 34.009615, 'longitude': -84.575366}"
gTxDeqlzPwyyOEfSbCG8Ug,Bernie's,137,4.5,"{'latitude': 34.021868, 'longitude': -84.616161}"
h9bmhBXJkmAAvrIrQi2B9A,Sushiology,473,4.5,"{'latitude': 33.994634, 'longitude': -84.592345}"
6suQ_bYtYjAE2SzvMNMOPQ,Seoul Food,77,4.0,"{'latitude': 34.0345149, 'longitude': -84.57147169999999}"
BSaM6ogkRpIXGiQ4prlJFw,Hamp & Harry’s,26,4.5,"{'latitude': 33.95197338210549, 'longitude': -84.54830738444345}"
mhqfydc4csV7zeJ6S_rDyA,Gus's Fried Chicken,52,4.0,"{'latitude': 34.021756, 'longitude': -84.615519}"
oPyq-ho213xlG-GWW5SpxQ,Vesuvio Pizzeria Napoletana,18,4.5,"{'latitude': 34.0244, 'longitude': -84.61592}"
Ojd9dDH7o1stE_s6IZGmvw,Henry’s Louisiana Grill,1193,4.5,"{'latitude': 34.065962, 'longitude': -84.677815}"
uLFe1gf7aYqLcjmhEj5xyA,Capers,590,4.0,"{'latitude': 33.9933388, 'longitude': -84.5976964}"
W6uXw8_cQj4gdbe9oeG-NQ,Anchor Bar Restaurant,121,4.0,"{'latitude': 34.015248, 'longitude': -84.562534}"
SfP2fbwQywC2_2zewABbxQ,Soi 3 Thai Street Food,173,4.5,"{'latitude': 34.014002, 'longitude': -84.5656614}"
UOm_WnG-1XPGfb8jWazLqg,Tacos Del Chavo,458,5.0,"{'latitude': 34.02892081836364, 'longitude': -84.6273996677226}"
e_roK7nT_2ZxXvTM-9Yr_w,Two Birds Taphouse,334,4.5,"{'latitude': 33.9507, 'longitude': -84.55044}"
XD8KI7sbHYbaOp2yw8KgkA,Marlow's Tavern,352,4.0,"{'latitude': 34.03437, 'longitude': -84.56936}"
eZRncD9yhSxBu3Fg-70zuA,3+3 Lanzhou Ramen,95,4.0,"{'latitude': 34.014114, 'longitude': -84.564622}"
nfb_TyvVZkfXqzlHEn4JCw,Hudson Grille- Kennesaw,168,3.5,"{'latitude': 34.0134697574835, 'longitude': -84.5719779200989}"
I0dubQjYzQ0xpBVzI7DO9Q,Salt Factory Pub,470,4.0,"{'latitude': 34.09964, 'longitude': -84.52044}"
VwSSw2eOzynYrL3K8GLrJg,Aqua Terra Bistro,291,4.5,"{'latitude': 34.1203842163086, 'longitude': -84.0051727294922}"
lRtTdeVwK-lnyFxo0_A1hg,Bare Bones Steakhouse,332,4.0,"{'latitude': 34.1208584, 'longitude': -84.0043894}"
ZzOl0Wz7XELL0J6-6iWs2w,Tani Thai Restaurant,138,4.5,"{'latitude': 34.12006, 'longitude': -84.00567}"
nDtjt9I0MGVrK62gbnAx1w,Ricos World Kitchen,668,4.5,"{'latitude': 34.1170196533203, 'longitude': -84.0098571777344}"
qL8tnupt-o5BXS5s_TCSiQ,Over The Top Burger Bar,175,4.0,"{'latitude': 34.124298, 'longitude': -83.984685}"
j29QN76xXH2-pwBJ_U9Dyg,WEI Authentic Chinese,149,4.5,"{'latitude': 34.07054178311637, 'longitude': -83.9852973}"
8J5byawXpIlGmPbMIv9wyw,Parma Tavern,417,4.0,"{'latitude': 34.072861, 'longitude': -83.984805}"
ALI36SNr6Ti4metynjUV0w,Tannery Row Ale House,310,3.5,"{'latitude': 34.114444, 'longitude': -84.012311}"
NYdM82GOT2KPQOmNb3kzyQ,Sugar Hill Distillery,27,4.5,"{'latitude': 34.106651, 'longitude': -84.037457}"
LIpVRKNIyRxQnTyyDYLM0Q,Wunderbar Bierhaus & Euro Bistro,10,4.5,"{'latitude': 34.106651, 'longitude': -84.037457}"
go8F_OU6avgzDIgHkS9YbA,Antebellum,186,4.5,"{'latitude': 34.1857, 'longitude': -83.92621}"
KcGsyxF9jQj-pKNgd485Ww,Taco Jalisco,197,4.5,"{'latitude': 34.1098187459775, 'longitude': -84.0037339245148}"
u16hIWOW5aECLfTdtBBmJg,Diesel Tap House,52,3.5,"{'latitude': 34.123677, 'longitude': -83.985135}"
CYvYb572yAHGPlE3SRe2LQ,Lola's Mexican Cantina,85,4.0,"{'latitude': 34.13564, 'longitude': -83.99772}"
y52HmEG_Iyr8Itzx6woYoA,Mika French Sushi,92,4.5,"{'latitude': 34.1208000729801, 'longitude': -84.0762163300476}"
yOOAiDLUL7ADfWeimJlANA,Italian Pie Pizza & Wings,7,4.0,"{'latitude': 34.12027, 'longitude': -84.00534}"
YBI7MtKJOQeAzw1zEBh7Ug,Coastal Breeze,221,3.5,"{'latitude': 34.1464858434792, 'longitude': -83.9679079368089}"
NbmGmrXCFaRKGdQd0VtIZA,Samba Steakhouse,153,4.0,"{'latitude': 34.1127100854505, 'longitude': -84.0728059948986}"
-dWGBQdzKQ-liy5c_8hyag,Pig Tales Lake Lanier,212,4.0,"{'latitude': 34.203477, 'longitude': -83.970435}"
yaMMTd5uAIjD2rjgGENn-g,Feast26,143,4.5,"{'latitude': 34.06473480492001, 'longitude': -83.97612828804888}"
bLkhPyA7_hGJ4xFXkzrBMw,Parkside District Seafood & Meats,625,4.0,"{'latitude': 33.96954, 'longitude': -84.02582}"
2PU3ISCtEHEToctQeQfR2w,Local Republic,861,4.0,"{'latitude': 33.95661, 'longitude': -83.98987}"
_BYyxCTt77r4AQbGQPbiRg,Uncle Jack's Tavern,55,3.5,"{'latitude': 33.95208, 'longitude': -83.98782}"
A27AZtiO2RgQnLN7KXHIlg,D'Floridian Cuban Cuisine & Bar,152,4.0,"{'latitude': 33.956057, 'longitude': -83.988735}"
-wrCzkAeIPh2zpFf0VuY-A,Two Cities Pizza Company,62,4.5,"{'latitude': 34.04143, 'longitude': -84.05296}"
1RjYZ9cAfta2Db_4duhjKg,Magazzino Delle Pizza,23,4.0,"{'latitude': 33.9556216, 'longitude': -83.989265}"
nan4gCvyIxfmHLG6WQgnKQ,Universal Joint,351,3.5,"{'latitude': 33.95755, 'longitude': -83.98941}"
nT0f4UgG8ADL1G0B44unPQ,Oyster Bay Seafood Cafe,387,4.0,"{'latitude': 33.9560313, 'longitude': -83.988769}"
M6KUra8vt5WH5xhH90lGWA,The Brunch Apothecary,519,4.5,"{'latitude': 34.0015261880465, 'longitude': -83.9039812982082}"
Bd2BBpx4ecNiE8sXN_bBPw,Strange Taco Bar,307,4.0,"{'latitude': 33.95604, 'longitude': -83.98995}"
JQHZW5XYC9DnM-fmqx9QxA,Foggy Bottom BBQ,136,4.0,"{'latitude': 33.95605, 'longitude': -83.99002}"
viqu-UL6bhsHYuB1039_iA,McCray's Tavern - Lawrenceville,385,3.0,"{'latitude': 33.95635, 'longitude': -83.98985}"
uNGJJkKm2rcXR6iRk8kReA,Flavor Rich Restaurant,286,4.5,"{'latitude': 34.036394470707606, 'longitude': -84.0863014599887}"
1uBZk1PiyvKiycFWgpuZBQ,NYC Bodega,25,4.5,"{'latitude': 33.97136, 'longitude': -83.99312}"
mobhSPT2M_SCDNM4wqCB-g,Beto's Tacos,36,4.5,"{'latitude': 33.95535091607973, 'longitude': -84.05189206000642}"
cDh2gQn5sw61-KjKHySTAw,Flame Kabob House,153,4.5,"{'latitude': 33.9433099, 'longitude': -83.99298}"
N49wyOA0WXvFK6Dp9eQCcg,Off The Hook Fish & Shrimp,271,4.0,"{'latitude': 33.968564, 'longitude': -84.029011}"
vlqcJ-JFFr95GxDGwI70EA,Hook & Reel Cajun Seafood & Bar,31,4.0,"{'latitude': 33.97032, 'longitude': -84.02043}"
p0yyzXEiQm5iuD0jIXYbKg,Baozi Asian Street Food,382,4.5,"{'latitude': 33.961193, 'longitude': -83.973016}"
j3Y5AHTDVQcsWKdubEtevg,Food Garrage,91,4.5,"{'latitude': 33.92784823918104, 'longitude': -84.06033298444535}"
6c7qO_TQdfURkIBJdjO3xQ,Bella A Baltimore Crab & Seafood Company,56,4.5,"{'latitude': 33.6668832482339, 'longitude': -84.5492533760227}"
7CvyE0cLTzEzivSEdDAbMQ,Milk & Honey Restaurant,1080,4.0,"{'latitude': 33.732091, 'longitude': -84.567526}"
